name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Quiet,'Chelou',,spotify:track:4ES9irjyS2WrfseUTpZoOv,216000,0.522,0.208,9,-10.872,0,0.0402,0.759,0.00246,0.187,0.169,122.292
A Retelling,'Kindness',,spotify:track:4VXvw5t6OdQ7EEuMrNAjDS,324086,0.409,0.312,1,-15.928,1,0.0657,0.767,0.823,0.139,0.278,94.872
Saleen,'Republik',,spotify:track:5LhSpnK4oAARsmREOGz9z7,197917,0.814,0.53,7,-10.257,1,0.0335,0.499,0.584,0.106,0.776,114.039
Wouldn't Change a Thing,'Jackson Breit',,spotify:track:2GIboVWLuyIavWP7e7BHuF,219131,0.761,0.558,10,-6.048,1,0.179,0.193,0.0,0.0556,0.791,92.04
She Can't Tell,'MOTHXR',,spotify:track:0D6brUTL5Fqf6YjWLcGchQ,204000,0.714,0.59,6,-7.952,0,0.077,0.0123,0.202,0.753,0.364,95.0
When Tomorrow Comes,'Anna Ternheim',,spotify:track:0hkoRkUnPTSqOdKLZTEAGU,209507,0.601,0.145,0,-11.945,1,0.0333,0.93,0.0,0.12,0.222,121.564
Fever,'Betty Everett', 'Jerry Butler',spotify:track:1bCVIRRHpFgIo21fVJUgS6,143533,0.444,0.32,5,-13.47,1,0.0328,0.574,0.0236,0.107,0.55,66.601
Soft Times,'Matt Duncan',,spotify:track:5Ne60QuU0daDjLi1J8Rheg,217093,0.771,0.512,0,-10.436,1,0.0526,0.283,0.0138,0.17,0.912,154.948
It's Me,'Adrian Younge',,spotify:track:1m0DidoGxaDHZXBa4eNJzi,132240,0.611,0.475,0,-6.624,1,0.0287,0.0139,0.423,0.117,0.176,83.525
You'll Lose A Good Thing,'Barbara Lynn',,spotify:track:2yP7pF1vWbe4arWheVAeQr,158427,0.588,0.328,2,-13.228,0,0.03,0.604,0.00018,0.551,0.613,104.094
Mockingbird,'Inez & Charlie Foxx',,spotify:track:7lEVRfnDPix34T3uSsxj61,158040,0.858,0.465,6,-7.632,1,0.0375,0.122,0.0,0.121,0.775,118.062
Pushing On,'Freddie Cruger', 'Red Astaire',spotify:track:3eY0cHBm9xJGlSxlrsPTCc,256667,0.71,0.457,11,-9.141,1,0.0792,0.0671,0.0427,0.028,0.602,87.732
Only Wanna Be with You - Unplugged,'Samm Henshaw',,spotify:track:2d40kroNsSMLNHMC04wQ9P,194120,0.423,0.178,8,-13.218,1,0.0498,0.854,0.0,0.108,0.383,96.07
Wild Is the Wind - 1999 Remaster,'David Bowie',,spotify:track:7uurJfwCTZ0iqVJlu6kj3k,360960,0.508,0.652,9,-11.17,0,0.0327,0.0144,0.000585,0.0397,0.528,98.987
But I Do,'Poldoore',,spotify:track:4ox2odCf0XL0g6692URWwe,240000,0.65,0.7,9,-5.632,0,0.0346,0.00137,0.343,0.147,0.689,93.007
Joyride,'Giovanca',,spotify:track:2u5BsGZ38VDdSubtmKR5Pe,268693,0.879,0.329,1,-9.442,0,0.092,0.151,1.92e-06,0.123,0.791,93.445
Bandolier - Acoustic Version,'Pale Honey',,spotify:track:0fVFkYsZBRa9wkZlH66NfB,333137,0.802,0.398,6,-10.805,0,0.0489,0.332,0.000922,0.0981,0.359,162.03
Every Little Bit Hurts,'The Spencer Davis Group',,spotify:track:2sP4t43k9X3Pb0xRzfTBnk,207800,0.522,0.318,10,-9.534,1,0.0308,0.735,0.0,0.0975,0.456,121.689
Pretty Blue Eyes,'Eric Clapton',,spotify:track:5nqzQIwGC2sAIvQwimkxRt,285133,0.444,0.412,9,-16.548,1,0.0353,0.432,0.843,0.108,0.751,154.001
Your Love Will Blow Me Away When My Heart Aches,'Son Little',,spotify:track:3xrNzIGwpFeRdObjMJN612,182900,0.52,0.489,5,-4.373,0,0.0675,0.666,0.0,0.0852,0.495,137.239
Cross My Heart,'Son Little',,spotify:track:6wZQs6TfQ0xCwFW1lrLr1f,235520,0.766,0.508,1,-8.767,0,0.0737,0.707,0.065,0.107,0.527,146.955
I Stand Accused,'Al Green',,spotify:track:3B4U3E7F8Cvb9wuwpco0lw,198147,0.645,0.317,10,-11.288,1,0.0446,0.833,0.123,0.336,0.554,142.598
Sure Thing,'St Germain',,spotify:track:1msXkHv84LKikJGKcfdGBu,380498,0.772,0.451,0,-12.242,1,0.0551,0.501,0.7,0.213,0.558,96.086
There's an End,'Holly Golightly',,spotify:track:1Shz7ObjzJlIEn24sXu5JK,213800,0.719,0.58,7,-7.694,1,0.0281,0.0393,0.769,0.0945,0.761,118.683
Who Will the Next Fool Be,'Dee Dee Warwick',,spotify:track:7DiQ14yZtbYuqfMMoBrIkt,225600,0.315,0.398,8,-14.434,1,0.0895,0.541,6.36e-06,0.0865,0.474,188.012
A Girl Who'll Satisfy Her Man,'Dee Dee Warwick',,spotify:track:0QwjGlkJWc0rrVPMKwvFNI,260013,0.435,0.174,1,-19.823,1,0.0329,0.847,2.13e-06,0.0735,0.408,112.879
I Ain't Got to Love Nobody Else,'Dee Dee Warwick',,spotify:track:4L45btrkzfIcAauquA3qPt,190707,0.288,0.344,0,-16.133,1,0.0444,0.587,0.0,0.23,0.566,145.842
