name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Under My Thumb,'The Rolling Stones',,spotify:track:3E8gEvhLia6w9lQv3hfxzM,221533,0.738,0.491,6,-13.407,0,0.0487,0.298,0.218,0.119,0.809,126.96
00h00,'Hoosky',,spotify:track:00LvjMnpznr4MZFSA8x9sA,51373,0.375,0.606,4,-9.383,0,0.197,0.339,0.000924,0.424,0.883,91.564
Conquer Me,'Jane B',,spotify:track:2jjPlj6KFzCffJ7KVQMwHX,216235,0.657,0.488,8,-10.416,0,0.0456,0.213,0.0942,0.36,0.662,149.763
Dapper (feat. Anderson .Paak),'Domo Genesis', 'Anderson .Paak',spotify:track:3seHx466iTcUmWE9dOVB3v,193093,0.753,0.594,1,-9.486,0,0.0816,0.0711,0.0,0.391,0.562,112.568
Sun Is Shining,'Bob Marley & The Wailers',,spotify:track:3PPigifoeEofIISQYbayMK,134573,0.784,0.52,0,-8.27,1,0.227,0.121,0.00158,0.146,0.854,72.678
Water Fountain,'Tune-Yards',,spotify:track:3pndgH9sLDTCWtCwr8LWt9,183453,0.825,0.69,1,-6.234,1,0.065,0.00337,0.00277,0.367,0.589,110.488
Ride A White Swan,'T. Rex',,spotify:track:3olQaoZDc2O1mFDod0evZI,132800,0.342,0.442,8,-9.782,1,0.0346,0.793,0.000105,0.0758,0.804,147.7
Whatcha See Is Whatcha Get,'The Dramatics',,spotify:track:6J7uQ9vLtBqNikEhlKUOnu,212840,0.638,0.708,6,-10.383,1,0.128,0.226,0.0,0.12,0.904,153.144
In Love With You,'Erykah Badu',,spotify:track:6uI95ERPZV6tivkNWsOKet,322533,0.72,0.272,9,-12.919,0,0.0683,0.58,0.0,0.145,0.661,132.494
Sunday Girl,'Blondie', 'Mike Chapman',spotify:track:23yv078f5kc08Kj6DMpO0t,185067,0.641,0.531,9,-13.691,1,0.0496,0.0256,0.000248,0.178,0.846,145.886
Two Weeks,'Grizzly Bear',,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,243160,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871
Somebody to Love Me,'Mark Ronson', 'The Business Intl',spotify:track:2Tky1eOpdLXo8yYawnTMcj,297933,0.694,0.853,6,-4.755,0,0.0415,0.107,1.63e-06,0.225,0.566,117.896
AH LA LA,"""Edgar de l'Est""",,spotify:track:0JBUms0CMKVARibROy8x7N,234227,0.829,0.353,9,-10.409,1,0.246,0.605,2.44e-05,0.124,0.897,134.979
Gimmie Shelter,'Merry Clayton',,spotify:track:318Vrl9zzFT7zT8BYKNhgP,211293,0.584,0.821,7,-9.016,0,0.0468,0.329,0.000282,0.565,0.646,117.619
Sam,'Tim Knol',,spotify:track:1jajG9Yo6m71VEpXx3uRzT,233333,0.563,0.146,3,-14.421,0,0.0408,0.894,1.6e-05,0.111,0.268,133.115
Intro / Stronger Than Me,'Amy Winehouse',,spotify:track:2pkKNXOwwEc8qgeQRtg6IJ,234107,0.875,0.481,9,-5.088,0,0.0451,0.0574,0.000453,0.0916,0.716,91.474
I'm a Steady Rollin' Man,'Robert Johnson',,spotify:track:5yxmp7HffmzRsrklr8xyrV,156240,0.681,0.193,2,-15.254,1,0.0581,0.982,0.00522,0.128,0.638,101.924
El Muro,'Eskorzo Afrobeat Experience',,spotify:track:2mu6r9KaIxj2CRrIcJTm0b,468143,0.618,0.894,0,-8.703,1,0.0327,0.0536,0.577,0.0611,0.91,96.991
Rudeboy Shufflin,'Israel Vibration',,spotify:track:6nKvpwVXvwqWHYkv8W8v5g,285667,0.885,0.482,5,-11.874,0,0.204,0.0127,0.0,0.0916,0.946,137.425
Big In Japan,'Britta Persson',,spotify:track:4TFjClZKae5hkuegAzfKPC,226554,0.73,0.427,6,-6.702,0,0.0308,0.285,0.0,0.11,0.2,100.16
This Sky,'The Derek Trucks Band',,spotify:track:7CF9D6br57ovVM7bo6B1jB,391987,0.445,0.544,9,-10.925,1,0.0314,0.698,0.477,0.115,0.222,101.172
Water No Get Enemy,"""D'Angelo""", 'Fela Kuti',spotify:track:4HUQeJ3p6NI3zIioBDvFuD,365933,0.786,0.753,10,-9.461,0,0.0803,0.312,0.0982,0.124,0.767,98.936
A Deusa Dos Orixás,'Clara Nunes',,spotify:track:5RKjI6OfKO2sjMpx67bkmm,151227,0.68,0.549,9,-12.331,1,0.0947,0.272,0.0,0.116,0.969,83.497
Jackson (with June Carter Cash),'Johnny Cash', 'June Carter Cash',spotify:track:73iwWviVbnrQRuzbsz023q,164733,0.736,0.548,0,-6.261,1,0.0362,0.278,0.000597,0.177,0.731,128.439
Ghostwriter,'RJD2',,spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp,317933,0.747,0.68,1,-6.187,1,0.0346,0.0107,0.803,0.0964,0.594,93.804
Body Music,'AlunaGeorge',,spotify:track:2D2p0eif9odHKFnRMIQU0w,242277,0.654,0.477,4,-10.337,0,0.0706,0.424,0.0,0.218,0.514,95.054
Yesterday Was Hard On All Of Us - Radio Edit,'Fink',,spotify:track:0j1YhB6z2ucnz200ueyp2B,208627,0.412,0.576,9,-9.403,0,0.0277,0.681,0.0315,0.141,0.264,97.289
Carry,'Ryan Montbleau',,spotify:track:0J22fYZReDIiD5dBLzOyzl,216000,0.669,0.153,2,-13.926,1,0.0304,0.693,6.85e-05,0.121,0.37,106.184
Intentions,'The Whitest Boy Alive',,spotify:track:6NhuC3eym57grcOoZo4Jst,219427,0.888,0.415,0,-6.583,1,0.0405,0.114,0.13,0.0905,0.671,93.714
Can't Stop Now,'Major Lazer', 'Mr. Vegas',spotify:track:4V7vcixwGO7cwAdxJCYVYs,243253,0.717,0.604,3,-6.194,1,0.141,0.0772,0.000243,0.338,0.585,81.549
Autumn Sun,'Emilíana Torrini',,spotify:track:4u0XMQsb1WPZnC9mlM68A4,251613,0.56,0.113,6,-14.755,0,0.0412,0.959,0.0143,0.113,0.141,156.795
Ooo Baby Baby,'Smokey Robinson & The Miracles',,spotify:track:2HcBa4FbX56sHRUvG8A0lr,169800,0.26,0.257,7,-10.021,1,0.0313,0.73,2.43e-05,0.0982,0.394,178.825
Come and Get It,'Beans & Fatback',,spotify:track:7iuXdT8CcAik4crjwJ2NVf,174387,0.712,0.793,6,-3.488,1,0.0374,0.333,0.00305,0.103,0.885,109.631
Carmensita,'Devendra Banhart',,spotify:track:1CzcrUxj97grUPWZ8HC3Dz,289293,0.609,0.668,4,-10.502,0,0.0459,0.594,0.121,0.113,0.789,124.67
Such a Night,'Dr. John',,spotify:track:3GppcLIGlSlvujXgR0pPRt,177733,0.829,0.248,5,-16.94,1,0.169,0.531,0.0,0.0732,0.786,121.444
Nothing To Worry About,'Peter Bjorn and John',,spotify:track:4qaXgj5TezCSCZD6tnGNp0,178360,0.713,0.623,0,-6.714,1,0.129,0.192,0.0,0.0607,0.566,95.1
Thieves In The Night,'Hot Chip',,spotify:track:42G8Aqqv0sKApmItJvJ8dx,368277,0.628,0.719,8,-5.443,1,0.041,0.0138,0.0951,0.206,0.371,134.071
Finally Moving,'Pretty Lights',,spotify:track:3WS7spXVlbeC5kjePmHMQW,277975,0.735,0.555,1,-8.84,0,0.0366,0.382,0.856,0.0952,0.523,100.01
Folsom Prison Blues - Live,'Johnny Cash',,spotify:track:5O6mz4qn6q7MSKubAzRnDW,162907,0.594,0.676,5,-9.552,1,0.0528,0.0267,0.00541,0.905,0.898,110.71
Plastic Soul,'YACHT',,spotify:track:43p0RNDfD6lSnHrQJUeffT,221946,0.639,0.452,7,-7.199,1,0.0324,0.00258,0.00153,0.0473,0.487,100.019
Wait For Me,'Susan Tedeschi',,spotify:track:1l3bkDAw1rxeGrPweih1jh,358933,0.401,0.534,7,-6.576,1,0.0524,0.59,7.41e-05,0.981,0.396,80.718
I Get High On You,'Sly Stone',,spotify:track:0DKvBAgkajew9Mi2ZMZRXo,193000,0.537,0.874,5,-9.656,1,0.0704,0.186,0.00115,0.405,0.615,97.381
Roundabout Town,'Fabiana Dammers',,spotify:track:56ga742AkJ7eL8sVZFWaag,225960,0.404,0.763,10,-5.071,1,0.0346,0.419,0.0,0.129,0.699,184.012
My Baby Just Cares for Me,'Nina Simone',,spotify:track:3Iizl7lLyHn0uWS64BOacY,218291,0.757,0.256,11,-16.435,0,0.101,0.963,0.11,0.107,0.538,117.462
Hot In Herre,'Jenny Owen Youngs',,spotify:track:2juY7nhQdfhhc4UHOOq2jq,256120,0.623,0.553,7,-7.441,1,0.0252,0.581,1.44e-06,0.0725,0.752,87.992
Goodnight Moon,'Shivaree',,spotify:track:5jQPDVjgSGnNYl8G3H3qul,243777,0.743,0.674,2,-7.683,1,0.0323,0.361,8.93e-05,0.0696,0.829,112.906
20:20 Vision - Remastered 2011,'Rory Gallagher',,spotify:track:77ku3NBquiW8kJIu2Ldz2m,241413,0.646,0.474,2,-11.186,1,0.0483,0.341,0.000213,0.1,0.67,127.82
Shotgun,'Eugene McGuinness',,spotify:track:46rPGnMRUK2MN1jdhZipic,212000,0.602,0.797,5,-6.706,0,0.031,0.00582,0.0,0.107,0.808,124.923
Estan Llamando,'Chico Mann',,spotify:track:3F1VXvS7N6Jy0RN09WdBKw,254160,0.881,0.761,11,-6.295,0,0.0324,0.0884,0.682,0.0759,0.97,119.982
Hands To Hold - Original Mix,'Bob Moses',,spotify:track:67bEWV1fH73M4Utu4Z13Kp,454513,0.864,0.555,4,-9.904,0,0.104,0.0539,0.698,0.0695,0.306,113.002
Electric,'Go Back To The Zoo',,spotify:track:0ErHM0nECzE60Jnt0NMeXy,188080,0.562,0.806,11,-4.588,1,0.0484,0.0643,6.05e-06,0.233,0.523,127.993
Man Named Truth,'Monsters Of Folk',,spotify:track:2kIUsdizVjgQfGHvJTZtY5,231880,0.526,0.91,2,-5.118,0,0.0329,0.542,0.00197,0.521,0.909,95.451
Funky Chick,'Lefties Soul Connection',,spotify:track:1OJlJ1gEfx2dSlr59iWMAA,211440,0.466,0.927,9,-5.146,0,0.0375,0.042,0.792,0.0364,0.976,178.703
Wish You Were Here,'Wyclef Jean',,spotify:track:1PCBv0e6guRL2JvvAgXlcJ,245453,0.736,0.563,7,-9.779,1,0.0704,0.0366,0.0094,0.13,0.542,87.986
Stay Useless,'Cloud Nothings',,spotify:track:34PLpJWhWw4IFFAd2PWgo5,166800,0.226,0.926,8,-5.749,1,0.0817,0.00589,2.5e-05,0.296,0.59,168.713
Hit the Waves,'The Mary Onettes',,spotify:track:0SilRhksdfJMKVITSJOxIo,256813,0.539,0.897,0,-5.337,1,0.0314,0.0136,0.0027,0.358,0.443,98.007
Our Day Will Come,'Amy Winehouse',,spotify:track:2Arl7cRrFiuDiHQjdMEXOU,169373,0.701,0.66,5,-6.075,0,0.0303,0.0489,2.84e-05,0.354,0.601,98.003
One Past - OBF Remix,'Chinese Man', 'OBF',spotify:track:0TrkWE0Lj5hSftkPGfmppy,262801,0.786,0.906,9,-8.266,0,0.0398,0.0286,0.704,0.471,0.823,132.017
Take It Slow (Ferro+Chrome Mix),'Joggo',,spotify:track:6Tv0CGfc6KKJf2SR91GTfS,164211,0.688,0.797,0,-4.627,1,0.0771,0.09,0.0,0.0741,0.629,152.051
Afrodiziak,'Bran Van 3000',,spotify:track:2TY9MWNZJ3s78XvOlEBTji,278773,0.759,0.794,10,-5.594,0,0.197,0.0416,0.000147,0.0801,0.658,93.485
Youth Dem Cold,'Richie Spice',,spotify:track:44NFd0LGevT1cxH8BoPZSP,224453,0.73,0.706,8,-6.04,0,0.325,0.0299,0.0,0.383,0.83,79.694
Saudade,'Chinese Man', 'Femi Kuti',spotify:track:0FCkSS3ai4slPIvoOfu6yO,290692,0.625,0.553,8,-9.483,0,0.0378,0.0396,0.0532,0.139,0.331,140.015
Let's Stay Together,'Al Green',,spotify:track:7kWhdmRYv8CqbWNqfojqVd,199400,0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952
Lulu Eiland,'Kern Koppen',,spotify:track:0VAFMyW6EXtZllWBnmKbSN,360444,0.333,0.834,4,-9.076,1,0.223,0.675,0.778,0.487,0.127,72.411
Nelson Mandela - 2002 Remastered Version,'The Specials',,spotify:track:57mY4qUaUegA3jvoyoz7oT,257320,0.658,0.847,0,-6.04,1,0.0598,0.0954,0.036,0.273,0.779,127.092
Habadabariwikidi (The Lovehopper),'Urban Heroes',,spotify:track:7b9r5votRwq8QYOXSUUwfQ,182693,0.466,0.688,9,-10.527,1,0.0621,0.0233,1.48e-05,0.179,0.964,174.191
Diamond Head,'The Treble Spankers',,spotify:track:0R86LncvIGAt5299oZsfmp,120883,0.499,0.69,9,-8.156,0,0.0277,0.00766,0.112,0.33,0.912,148.393
Run Sister Run,'Cass McCombs',,spotify:track:1Ll36rj3jqbmRVSc3g1RAM,351693,0.754,0.534,11,-8.932,1,0.213,0.317,0.162,0.163,0.498,97.113
Too Young For Me,'Jimi Jules', 'JAW',spotify:track:1ZPc6TYeCaeSgu8W8bV5jD,264675,0.792,0.568,11,-9.142,1,0.0456,0.325,0.438,0.083,0.244,103.981
Faeded - Dub,'Prace',,spotify:track:75xnyitqdY8A3JyTZxQKxc,200101,0.696,0.792,6,-8.568,1,0.0564,0.0743,0.914,0.474,0.698,109.257
One Man Parade,'James Taylor',,spotify:track:5z3uleqWZt08aY3p8u9sIc,191467,0.817,0.297,0,-14.13,1,0.0383,0.818,0.00108,0.139,0.913,124.167
Watch Me Dance,'Tom Misch',,spotify:track:4vELW2hK9eb9R7Q0BNJ3Vh,303586,0.771,0.29,10,-13.413,0,0.0341,0.323,0.0316,0.0645,0.192,118.003
Efils' God,'Eels',,spotify:track:5nt968onvYmCg8H1ckWEKH,199600,0.558,0.269,11,-13.396,0,0.193,0.427,0.785,0.107,0.58,101.942
Shout Out Loud,'Amos Lee',,spotify:track:6cDAuJu8XORfSZ9JNL2Ymx,230773,0.564,0.645,7,-7.106,1,0.0265,0.0563,0.0119,0.107,0.447,77.213
Beautiful Strangers,'Kevin Morby',,spotify:track:0prVUHQu2xr6pI5iEbKtxo,375903,0.826,0.423,4,-11.127,1,0.0445,0.762,0.0689,0.105,0.891,100.042
Rude Boys Outa Jail,'The Specials',,spotify:track:3BC1w99O2lRvpZNYCIhpCP,160653,0.58,0.829,0,-8.739,1,0.03,0.36,2.52e-05,0.358,0.971,145.402
Red Eyes,'The War On Drugs',,spotify:track:71jGGLe5VtEHjIk5dU2W3S,298920,0.464,0.815,10,-6.371,1,0.0368,0.00871,0.201,0.162,0.467,161.845
Unified,'G. Love & Special Sauce',,spotify:track:664T43rA0ZXvXHRxb3qrAi,187040,0.584,0.914,2,-7.279,1,0.0552,0.0341,0.000196,0.159,0.477,104.892
Nuthin But Love,'Jim Morey',,spotify:track:43B1vxAfIpBmMbFPyoMAax,194733,0.661,0.39,4,-16.237,1,0.0371,0.655,3.53e-06,0.0804,0.845,107.734
C.L.U.B.,'MNDR',,spotify:track:10dCb3llSSA47fc1NOLbCj,220051,0.719,0.816,7,-6.93,1,0.069,0.00706,0.0225,0.142,0.602,126.011
Crazy Sufferin Style,'Selah Sue',,spotify:track:0h7mLhLljtrHOa3aSQpAYC,248493,0.637,0.882,7,-5.218,1,0.178,0.00199,1.71e-06,0.152,0.446,186.05
Feel Good,'Robin Thicke',,spotify:track:4bTGxa0SKnLyuTp8TftBvO,208107,0.725,0.448,0,-8.48,1,0.0413,0.0297,3.74e-05,0.0605,0.441,124.972
Cooler Couleur (feat. Yelle),'Crookers',,spotify:track:76615pe5Ee0ELIEFsNU8Jm,282080,0.798,0.671,2,-5.526,1,0.0655,0.129,0.00426,0.164,0.446,95.227
Vondt i hjertet,'Razika',,spotify:track:5TzKsfDcGvlFql8ttd501B,215293,0.641,0.788,9,-6.768,1,0.0325,0.0651,8.94e-06,0.129,0.486,140.034
Piece of the Rock,"""Mother's Finest""",,spotify:track:4Cg77xT2idYBAFNLTpmiHh,203667,0.709,0.849,9,-7.527,1,0.0395,0.00585,5.79e-06,0.186,0.518,126.702
Remember You (feat. The Weeknd),'Wiz Khalifa', 'The Weeknd',spotify:track:19EgqewYa61aZwRtXfxbew,289600,0.726,0.775,2,-4.174,1,0.269,0.217,0.0,0.212,0.777,127.943
So Bad,'Toots & The Maytals',,spotify:track:2kebOYlhMhdqdJxMGYoDnc,177640,0.742,0.59,3,-9.607,1,0.0572,0.232,0.0,0.0443,0.963,127.143
Summer Breezin','3 Balearos',,spotify:track:198Cgf0FPYQDVMJORT520U,279301,0.583,0.752,9,-11.465,1,0.0373,0.498,0.885,0.425,0.96,99.993
Starz In Their Eyes,'Just Jack',,spotify:track:5NIyDZfdnMGRXnwbX2kwA4,295587,0.64,0.809,3,-6.438,1,0.0714,0.00189,0.000314,0.495,0.65,123.885
What Kind of Cool (Will We Think of Next),'Cody Chesnutt',,spotify:track:5k7p4cVAV56zQzK86bxXg4,308933,0.684,0.608,6,-6.719,1,0.115,0.121,0.0549,0.0804,0.743,97.074
Não Me Deixe Só,'Vanessa Da Mata',,spotify:track:2ukW9zOr51AYeLSmCtTVqW,189667,0.731,0.469,2,-10.724,1,0.0379,0.333,0.0115,0.0976,0.641,107.093
Il est tout pour moi,'Françoise Hardy',,spotify:track:3GGnrPooitgHfLzzaiJW9F,117147,0.586,0.507,2,-10.193,0,0.0343,0.777,0.0,0.18,0.96,73.007
Alors On Danse - Radio Edit,'Stromae',,spotify:track:5OUB9MiQhq972yuwotfQZa,208147,0.799,0.634,1,-7.899,0,0.0749,0.0968,0.00534,0.0669,0.74,119.967
I Don't Feel Like Dancin','Scissor Sisters',,spotify:track:1q9l6c8bAzqWcvO3DM6FsR,288360,0.707,0.923,7,-3.409,1,0.0276,0.0195,0.0,0.342,0.845,108.023
Fussball,'The Orb'," 'Lee ""Scratch"" Perry'",spotify:track:2XlAjPUcsjkmYJgQbgvP5H,270852,0.901,0.47,10,-10.137,0,0.0715,0.0012,0.119,0.654,0.63,104.0
The Hearse,'Wampire',,spotify:track:1JGXx7CG3CxUYmuaNLyuQ3,280107,0.456,0.889,2,-7.031,1,0.0707,0.0905,0.834,0.341,0.104,89.995
Buena,'Morphine',,spotify:track:2SSBJhvMsujY94GK5JAtKs,199667,0.576,0.494,10,-12.242,0,0.0605,0.106,0.174,0.13,0.587,96.478
D.H.E.A.,'Amp Live',,spotify:track:7azrHbFNpxZNncn9BXpaW1,286757,0.735,0.471,10,-6.532,0,0.117,0.49,1.66e-05,0.65,0.192,92.127
Laisse Tomber Les Filles,'April March',,spotify:track:2RoAAKHlhHJSSC7dRO5Byc,125933,0.585,0.888,11,-7.877,0,0.0433,0.0921,0.0,0.317,0.88,139.073
Johnny Reggae,'The Piglets',,spotify:track:0fcvMpQoHinCml1Gzs5ikM,131613,0.798,0.398,2,-14.916,1,0.355,0.29,8.56e-06,0.0496,0.956,114.203
No Agreement,'Tony Allen', 'Res',spotify:track:45MOJD1n0NBKGLrrG90snU,491984,0.823,0.664,10,-9.124,0,0.0466,0.318,0.0991,0.2,0.965,100.048
Way It Goes,'Current Swell',,spotify:track:4jSCzAbEQHA0t9INVjQhSF,218920,0.578,0.417,6,-10.555,1,0.0508,0.784,2.4e-06,0.0973,0.442,135.783
Racing With the Sun - Deluxe Remix,'Chinese Man',,spotify:track:5uUH9YUEhlDkNFtkfkjt8G,235603,0.86,0.645,1,-8.148,1,0.0445,0.0595,1.88e-05,0.165,0.966,130.048
Goodnight Irene,'Ry Cooder', 'Corridos Famosos',spotify:track:2fSweK1ksQnat7xpyOuplN,424773,0.404,0.325,4,-15.412,1,0.039,0.462,0.000188,0.933,0.275,104.393
Wait a Minute - Extended,'Osborne',,spotify:track:2hwloxUA03jmf2XWvM2Bnm,405280,0.705,0.868,8,-7.491,0,0.0462,0.00839,0.316,0.0687,0.853,116.741
You'll Always Find Me In The Kitchen At Parties,'Jona Lewie',,spotify:track:0P1uVFhdZsNkMPbEgtNj5q,186627,0.592,0.495,5,-10.222,1,0.0402,0.592,0.0181,0.353,0.549,93.458
Summerbreeze,'Johnossi',,spotify:track:4nxNOXWMzgQFPbJgU2L1Jx,174800,0.571,0.101,8,-15.457,0,0.0375,0.796,0.0,0.0887,0.234,111.419
Airplanes,'Local Natives',,spotify:track:5v7Eh9qFbUPcjjF7xbLB7l,238053,0.423,0.525,2,-7.892,1,0.0295,0.511,0.0658,0.133,0.589,192.052
Island - 2007 Remaster,'Ben Taylor',,spotify:track:0twcEkKIHASgyyIkxgXztn,189760,0.521,0.0844,4,-18.971,1,0.0369,0.855,2.49e-05,0.108,0.416,167.729
Hasta Siempre,'Carlos Puebla',,spotify:track:1YvPgOMLZtfz5tA5yUXIW3,223480,0.752,0.473,6,-6.186,0,0.0303,0.873,0.00255,0.0964,0.586,111.149
I Wanna Be Your Telephone,'Jamie Lidell',,spotify:track:4pBTPR9J6qF9CjnMWLa9DH,209480,0.909,0.83,1,-4.33,1,0.119,0.193,0.313,0.0885,0.789,116.507
Grazing In the Grass,'The Friends Of Distinction',,spotify:track:755QPhAgO1YSmbs8a9M9b9,174080,0.595,0.857,1,-6.89,0,0.163,0.498,0.0,0.355,0.74,127.629
The Whole Of The Moon,'The Waterboys',,spotify:track:4sVDkyyLmcz7oPjfPEyVDU,299413,0.538,0.852,0,-5.68,1,0.0321,0.071,3.95e-06,0.602,0.597,105.664
Coeur À Coeur,"""The Jouby's""",,spotify:track:1vcMRxTmegpzIdg4uHXyCs,210103,0.667,0.303,0,-10.408,1,0.321,0.762,0.0,0.167,0.762,123.481
Jayou,'Jurassic 5',,spotify:track:0fFOzGJsL7efc2lujAvTO0,178973,0.944,0.616,6,-9.703,1,0.186,0.438,0.0,0.0687,0.926,98.935
1 Thing,'Ane Brun',,spotify:track:7A3E6NfiKKk3N5O1dFiwpG,183680,0.8,0.119,1,-14.858,0,0.0612,0.974,8.86e-05,0.0948,0.393,131.156
Grandma's Hands,'Bill Withers',,spotify:track:1qfDfZAvrkSAFrAR2FTQDv,121080,0.731,0.311,4,-14.939,0,0.0892,0.598,1.68e-06,0.111,0.574,82.366
Police In Helicopter,'John Holt',,spotify:track:6igLzQMVFFO8FNZlXQOJZa,219160,0.686,0.652,9,-7.586,0,0.111,0.0331,8.34e-06,0.0578,0.503,141.185
Roll the Dice,'The Calimocho Club',,spotify:track:54DGenafC1w2eUnDfa6VJL,218973,0.61,0.869,11,-6.554,0,0.114,0.196,0.000649,0.101,0.687,79.164
Coming Through,'Willis Earl Beal feat. Cat Power', 'Willis Earl Beal',spotify:track:2JgRXUmpB56NavNqg5UXJi,235267,0.737,0.556,0,-10.091,1,0.031,0.0312,2.74e-05,0.12,0.673,96.51
"You, Me and the Bourgeoisie - (Album Version)",'The Submarines',,spotify:track:3Nu8VXZ20fb6SmZOL98tAp,204413,0.727,0.727,1,-4.681,0,0.0339,0.055,0.00331,0.0855,0.647,127.056
"Hot Kisses, Cold Tiles",'Fergus Brown',,spotify:track:6gUFZ0pJznPV4D6uJayH23,176893,0.417,0.723,7,-4.532,1,0.0294,0.0046,0.0,0.118,0.707,152.69
Crime,'Mayer Hawthorne', 'Kendrick Lamar',spotify:track:4QzFf6MGqsRz0WlH8E9qWv,280400,0.572,0.773,6,-7.356,0,0.05,0.0461,6.27e-05,0.0417,0.487,94.988
New World Airlines,'DAB',,spotify:track:6iR0JmlHI9NC9qijgwp0hl,294706,0.791,0.531,9,-7.965,0,0.0698,0.0815,0.146,0.0778,0.459,160.039
Independence Day,'Elliott Smith',,spotify:track:02jCtOqqc0vfEzpg6Y1nFn,184907,0.567,0.509,0,-10.846,1,0.031,0.449,0.0684,0.123,0.458,86.86
Cecil Taylor,'Jonathan Wilson',,spotify:track:7HLhVDFijQbyFSQQa2n21o,390667,0.586,0.208,9,-15.751,0,0.0326,0.773,0.0132,0.152,0.241,80.989
Angel Of The Morning - Original,'Joya Landis',,spotify:track:5Vrp8Vv59Oha2kLgg6hp4F,187000,0.632,0.497,8,-8.03,1,0.21,0.706,0.00471,0.2,0.839,173.15
You Know I'm No Good,'Amy Winehouse',,spotify:track:0u8ekDfiPVBsju2LBLvDvI,256947,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383
C'est La Vie (You Never Can Tell),'Pulp No Pulp',,spotify:track:4Ix9HrEDwAZjXTFOWTjCmr,180200,0.613,0.946,7,-4.114,1,0.0421,0.0295,4.86e-06,0.376,0.865,156.977
Down On The Corner,'Creedence Clearwater Revival',,spotify:track:0AABTVtrNUINcvMqUiaUoU,164773,0.857,0.506,0,-10.083,1,0.127,0.435,0.0202,0.0562,0.828,107.868
Son's Gonna Rise,'Citizen Cope',,spotify:track:1v4LtJJNOW0D2EIVceSla2,232693,0.6,0.753,7,-4.66,1,0.0484,0.0863,0.0,0.0551,0.552,79.776
Living for the City,'Pat Rhoden',,spotify:track:5E7M1sh00JUT8eJoYVsMTv,181893,0.815,0.52,1,-7.707,1,0.14,0.237,0.0,0.168,0.931,89.038
Ayoba feat. Spoek & Gnucci Banana,'Schlachthofbronx',,spotify:track:7AnazPRBkjY941yoJriFx1,217267,0.91,0.752,10,-10.168,1,0.112,0.0267,3.85e-05,0.0384,0.714,142.951
"Shame, Shame, Shame",'Jimmy Reed',,spotify:track:2uRHKB4BYOF2A6a6PZXKE0,169307,0.571,0.498,2,-9.77,1,0.0303,0.965,0.5,0.307,0.9,161.805
Fresh Feeling,'Eels',,spotify:track:5dGT5DzuuhgwNWcZFU7C0n,217000,0.756,0.724,1,-7.799,0,0.167,0.0476,0.385,0.145,0.536,94.0
Big Iron,'Marty Robbins',,spotify:track:0AQquaENerGps8BQmbPw14,235733,0.726,0.474,1,-7.834,0,0.0491,0.803,0.0,0.258,0.57,116.027
Story Book Children,'Gregory Isaacs',,spotify:track:1xXW2WXTWtqkPweIUq1XSY,212602,0.844,0.486,2,-11.268,1,0.0572,0.102,0.00577,0.138,0.942,142.332
trust (hell below),'Inc.',,spotify:track:3Xa4josUuXYfRXBTQJ03nG,270173,0.741,0.428,4,-9.248,0,0.0466,0.12,0.528,0.0935,0.165,98.012
New York,'Angel Haze',,spotify:track:3m7GiM4KqqqXiuSeNwfqqA,207411,0.718,0.85,7,-7.482,1,0.363,0.0218,2.1e-05,0.131,0.887,203.962
I Wish,'Stevie Wonder',,spotify:track:4wjlB0Kgc7wf18Esf55hhj,251500,0.821,0.721,10,-10.383,0,0.0515,0.0816,7.37e-06,0.0765,0.885,105.865
"Don't Think Twice, It's All Right",'Odetta',,spotify:track:0YYXg3u5ELZb2SjcD2YTFF,341293,0.779,0.216,2,-13.175,1,0.043,0.728,0.000626,0.0969,0.392,125.831
A Girl Called Johnny - 2002 Remastered Version,'The Waterboys',,spotify:track:0jPKthkPn7diNyx7FV2MBR,237200,0.562,0.947,9,-3.948,0,0.0681,0.396,0.0,0.164,0.569,132.857
Put it On,'Bob Marley & The Wailers',,spotify:track:4n0EFC37DePF72ag34uCDt,188760,0.657,0.458,1,-10.646,1,0.0846,0.509,1.42e-06,0.117,0.701,88.469
Move,'Little Mix',,spotify:track:0gsIQwgHmi1DGv1n2IipUr,224333,0.85,0.741,6,-4.57,0,0.0918,0.00436,3.33e-06,0.549,0.765,121.17
Unchained Melody,'Al Green',,spotify:track:6Cj1BkM5BGjRSove7Fdr6C,335600,0.473,0.167,0,-17.555,1,0.0315,0.407,0.00303,0.109,0.384,133.413
Who Loves The Sun,'The Velvet Underground',,spotify:track:1yJ6PRcbdlsVRMK0qU1uf1,165573,0.455,0.547,4,-11.494,1,0.0295,0.258,0.0,0.409,0.803,130.178
Give It Away,'Red Hot Chili Peppers',,spotify:track:5zvGgGPLFLAGvHB1Ckykf6,284267,0.683,0.989,9,-2.092,0,0.0616,0.00579,0.00108,0.0965,0.781,91.558
